concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,82.46149096000181,16.427977682334436,784.6880538868264,370.81285409838824,Qwen/Qwen-7B,1
8,1024,1024,82.45106946000305,16.440278058972584,784.1071676591498,370.5383500086111,Qwen/Qwen-7B,1
8,4096,1,84.05809582000074,16.419136541411866,784.6058427134728,370.7740043163901,Qwen/Qwen-7B,1
8,4096,1024,82.40115902000753,16.42632360990742,784.6706079092797,370.80460981240145,Qwen/Qwen-7B,1
8,8192,1,84.21467995998682,16.41498399004018,784.7511121432993,370.8426529616963,Qwen/Qwen-7B,1
8,8192,1024,82.58410829999548,16.43165470068141,784.5991623437886,370.7708474352107,Qwen/Qwen-7B,1
16,1024,1,114.8279599200032,19.231195628079682,1128.772424315679,533.4136568216727,Qwen/Qwen-7B,1
16,1024,1024,114.59626750000098,19.228839919011044,1129.0484400860691,533.5440910688715,Qwen/Qwen-7B,1
16,4096,1,114.82913566001116,19.24007692940761,1128.632678605441,533.3476184699932,Qwen/Qwen-7B,1
16,4096,1024,114.8294444000021,19.221726175694567,1129.3454051986964,533.6844251550546,Qwen/Qwen-7B,1
16,8192,1,116.88195832000247,19.259842697973077,1127.5245288779847,532.8239502923384,Qwen/Qwen-7B,1
16,8192,1024,114.91021521999983,19.2261830813385,1129.1815498571793,533.6069935355131,Qwen/Qwen-7B,1
32,1024,1,372.3823071145773,21.90566019851732,1541.7356740853922,1004.9617513604619,Qwen/Qwen-7B,1
32,1024,1024,370.4567920312556,21.90907544537414,1541.9897549691016,1005.1273709113173,Qwen/Qwen-7B,1
32,4096,1,370.78075727084797,21.909598357495845,1541.467349142327,1004.7868469918018,Qwen/Qwen-7B,1
32,4096,1024,368.55413442708834,21.908346868377674,1542.1262231865967,1005.2163260682642,Qwen/Qwen-7B,1
32,8192,1,368.50474499998853,21.90615144654471,1542.3768041905205,1005.3796642648135,Qwen/Qwen-7B,1
