concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,723.2127875000032,0.0,9667.037084456273,9.44046590278933,google/gemma-2-2b-it,1
8,1024,1024,620.0033619999772,139.42273499998237,57.04225260354337,57.04225260354337,google/gemma-2-2b-it,1
8,4096,1,2669.1626620000193,0.0,11597.68958091827,2.8314671828413744,google/gemma-2-2b-it,1
8,4096,1024,1736.6966115000082,141.06733400001303,222.4824162841796,55.6206040710449,google/gemma-2-2b-it,1
8,8192,1,5641.230074999953,0.0,11300.644415776194,1.37947319528518,google/gemma-2-2b-it,1
8,8192,1024,3405.034841499969,143.29964000012296,429.61712253539866,53.70214031692483,google/gemma-2-2b-it,1
16,1024,1,1432.0378434999839,0.0,10675.29517786289,10.425092947131729,google/gemma-2-2b-it,1
16,1024,1024,1029.4001309999885,140.60540900004526,112.62531277414358,112.62531277414358,google/gemma-2-2b-it,1
16,4096,1,5501.832710999906,0.0,11798.304380301304,2.880445405346998,google/gemma-2-2b-it,1
16,4096,1024,3075.972282500061,143.9622049999798,428.5354355574344,107.1338588893586,google/gemma-2-2b-it,1
16,8192,1,11446.02526299991,0.0,11397.336184121545,1.3912763896632745,google/gemma-2-2b-it,1
16,8192,1024,6239.205355999729,148.46517099977063,801.7126076894198,100.21407596117747,google/gemma-2-2b-it,1
32,1024,1,2864.4952399999966,0.0,11039.150342309464,10.780420256161586,google/gemma-2-2b-it,1
32,1024,1024,1727.9490520002128,143.27562500011481,218.84091000824756,218.84091000824756,google/gemma-2-2b-it,1
32,4096,1,11004.254594500026,0.0,11852.781237854484,2.8937454193980674,google/gemma-2-2b-it,1
32,4096,1024,5832.003515500219,150.077430500005,795.7807070008541,198.94517675021353,google/gemma-2-2b-it,1
32,8192,1,22892.1010439999,0.0,11422.922204506995,1.3943996831673577,google/gemma-2-2b-it,1
32,8192,1024,14851.268013000208,152.22608549947836,933.7972053925554,116.72465067406942,google/gemma-2-2b-it,1
64,1024,1,5729.768926000361,0.0,11143.561425451875,10.882384204542847,google/gemma-2-2b-it,1
64,1024,1024,3129.7601334999854,148.25705499970354,415.7214150676028,415.7214150676028,google/gemma-2-2b-it,1
64,4096,1,22009.717504000037,0.0,11879.62815162203,2.900299841704597,google/gemma-2-2b-it,1
64,4096,1024,170503.51173299988,152.58526550042006,794.2754877744526,198.56887194361315,google/gemma-2-2b-it,1
64,8192,1,45787.36272500009,0.0,11435.576893008845,1.3959444449473688,google/gemma-2-2b-it,1
64,8192,1024,348707.8118920003,152.2458250001364,933.4160222914205,116.67700278642756,google/gemma-2-2b-it,1
