concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,84.83732500008045,0.0,84555.05688167326,82.57329773600904,Qwen/Qwen2.5-7B-Instruct,4
8,1024,1024,84.46855499960293,4.72306000028766,1669.0826654095745,1669.0826654095745,Qwen/Qwen2.5-7B-Instruct,4
8,4096,1,401.16303500008144,0.0,79755.40261598838,19.471533841794038,Qwen/Qwen2.5-7B-Instruct,4
8,4096,1024,247.45596999991903,4.898584999864397,6063.23500514968,1515.80875128742,Qwen/Qwen2.5-7B-Instruct,4
8,8192,1,927.9810210000505,0.0,69723.60659875041,8.511182446136525,Qwen/Qwen2.5-7B-Instruct,4
8,8192,1024,493.19326800014096,4.967865000253369,10801.49768296636,1350.187210370795,Qwen/Qwen2.5-7B-Instruct,4
16,1024,1,170.1547490001758,0.0,91137.24130239071,89.00121220936593,Qwen/Qwen2.5-7B-Instruct,4
16,1024,1024,114.89132000042446,5.30279500026154,2914.0186030246955,2914.0186030246955,Qwen/Qwen2.5-7B-Instruct,4
16,4096,1,802.5077060001422,0.0,80570.34338330239,19.67049399006406,Qwen/Qwen2.5-7B-Instruct,4
16,4096,1024,449.88889800015386,5.527309999706631,10015.259829127317,2503.8149572818293,Qwen/Qwen2.5-7B-Instruct,4
16,8192,1,1855.9418704999189,0.0,70115.96435615011,8.559077680194106,Qwen/Qwen2.5-7B-Instruct,4
16,8192,1024,1029.8347499997362,6.533589999889955,15246.746896638124,1905.8433620797655,Qwen/Qwen2.5-7B-Instruct,4
32,1024,1,340.47606399963115,0.0,92803.98351735786,90.62889015366979,Qwen/Qwen2.5-7B-Instruct,4
32,1024,1024,200.69499900000665,6.6298350002398365,4582.781455821127,4582.781455821127,Qwen/Qwen2.5-7B-Instruct,4
32,4096,1,1604.9759029997404,0.0,81007.5028316971,19.7772223710198,Qwen/Qwen2.5-7B-Instruct,4
32,4096,1024,853.884981000192,7.915809999758494,13455.395157839632,3363.848789459908,Qwen/Qwen2.5-7B-Instruct,4
32,8192,1,3711.3807529999576,0.0,70365.57472084354,8.58954769541547,Qwen/Qwen2.5-7B-Instruct,4
32,8192,1024,1951.205035500152,11.826004999875295,16461.01510024515,2057.6268875306437,Qwen/Qwen2.5-7B-Instruct,4
64,1024,1,681.1214614999699,0.0,94186.06920548552,91.97858320848195,Qwen/Qwen2.5-7B-Instruct,4
64,1024,1024,375.7549729998573,9.372794999762846,6336.998545664261,6336.998545664261,Qwen/Qwen2.5-7B-Instruct,4
64,4096,1,3209.7709699996813,0.0,81265.53356167719,19.840218154706346,Qwen/Qwen2.5-7B-Instruct,4
64,4096,1024,1658.9569769998889,13.264485000036075,15580.39891287349,3895.0997282183725,Qwen/Qwen2.5-7B-Instruct,4
64,8192,1,7422.164424999664,0.0,70447.05375169315,8.59949386617348,Qwen/Qwen2.5-7B-Instruct,4
64,8192,1024,3810.555633000149,21.079289499994047,18049.16933104752,2256.14616638094,Qwen/Qwen2.5-7B-Instruct,4
128,1024,1,1362.676423499579,0.0,94346.27631036083,92.13503545933675,Qwen/Qwen2.5-7B-Instruct,4
128,1024,1024,721.4669665004294,13.451055000132328,8669.992284610456,8669.992284610456,Qwen/Qwen2.5-7B-Instruct,4
128,4096,1,6419.0723754995815,0.0,81359.79008873424,19.863230002132383,Qwen/Qwen2.5-7B-Instruct,4
128,4096,1024,3281.0662594997666,23.66919499991127,17081.275143657338,4270.3187859143345,Qwen/Qwen2.5-7B-Instruct,4
128,8192,1,14848.682252000344,0.0,70501.74990306549,8.606170642464049,Qwen/Qwen2.5-7B-Instruct,4
128,8192,1024,7529.837892999694,39.25941000034072,19011.863537870096,2376.482942233762,Qwen/Qwen2.5-7B-Instruct,4
256,1024,1,2733.284792499944,0.0,91120.94344332517,88.98529633137224,Qwen/Qwen2.5-7B-Instruct,4
256,1024,1024,1452.310763999776,20.81051999994088,10736.588658804101,10736.588658804101,Qwen/Qwen2.5-7B-Instruct,4
256,4096,1,12847.182729500219,0.0,81436.8182197169,19.88203569817307,Qwen/Qwen2.5-7B-Instruct,4
256,4096,1024,6521.74646200001,44.39760000059323,17914.13586448113,4478.5339661202825,Qwen/Qwen2.5-7B-Instruct,4
256,8192,1,29689.695343499807,0.0,70525.58777466125,8.609080538899079,Qwen/Qwen2.5-7B-Instruct,4
256,8192,1024,18317.495483500352,48.71886899945821,20118.219633054247,2514.777454131781,Qwen/Qwen2.5-7B-Instruct,4
8,4096,1,1661.3211024996417,0.0,19586.620844418456,4.78188985459435,Qwen/Qwen3-32B,4
8,4096,1024,1067.73908499963,19.083829000010155,1547.0509661575918,386.76274153939795,Qwen/Qwen3-32B,4
16,4096,1,3323.4557034998033,0.0,19643.013802969643,4.795657666740635,Qwen/Qwen3-32B,4
16,4096,1024,1797.1776805002264,21.74803000070824,2558.1389981133734,639.5347495283434,Qwen/Qwen3-32B,4
32,4096,1,6650.5674735003595,0.0,19662.229098983193,4.8003489011189435,Qwen/Qwen3-32B,4
32,4096,1024,3774.7393419999753,23.95940399992469,3347.32909483586,836.832273708965,Qwen/Qwen3-32B,4
64,4096,1,13303.21760850029,0.0,19680.07394954734,4.804705554088706,Qwen/Qwen3-32B,4
64,4096,1024,34812.45609999997,24.065519499799848,3345.9186852574894,836.4796713143724,Qwen/Qwen3-32B,4
128,4096,1,26605.869670499942,0.0,19468.501966635264,4.753052237948062,Qwen/Qwen3-32B,4
128,4096,1024,121845.95111349973,24.114240000017162,3344.6718122717484,836.1679530679371,Qwen/Qwen3-32B,4
256,4096,1,53216.191160000104,0.0,19654.54844153917,4.798473740610149,Qwen/Qwen3-32B,4
256,4096,1024,271929.07774149947,24.116860000503948,3403.3324876646748,850.8331219161687,Qwen/Qwen3-32B,4
