concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,617.9566549994888,0.0,12892.84413722424,12.590668102758046,Qwen/Qwen3-30B-A3B,4
8,1024,1024,412.0515519998662,10.241580000183603,736.5265328339624,736.5265328339624,Qwen/Qwen3-30B-A3B,4
8,4096,1,2525.998793499639,0.0,12923.062300659116,3.1550445069968545,Qwen/Qwen3-30B-A3B,4
8,4096,1024,1438.4557560001667,11.36999949994788,2308.3550061967812,577.0887515491953,Qwen/Qwen3-30B-A3B,4
8,8192,1,5215.158209499805,0.0,12520.730323040076,1.528409463261728,Qwen/Qwen3-30B-A3B,4
8,8192,1024,2957.741779499429,12.378089999856456,3654.919252743425,456.86490659292815,Qwen/Qwen3-30B-A3B,4
16,1024,1,1236.6701840001042,0.0,13097.190131911926,12.79022473819524,Qwen/Qwen3-30B-A3B,4
16,1024,1024,722.232014999463,16.480580000461487,904.311321723063,904.311321723063,Qwen/Qwen3-30B-A3B,4
16,4096,1,5047.123331500188,0.0,12949.550838603684,3.1615114352059774,Qwen/Qwen3-30B-A3B,4
16,4096,1024,2707.243900500089,18.878159999985655,2682.6076178816325,670.6519044704081,Qwen/Qwen3-30B-A3B,4
16,8192,1,10437.784919000023,0.0,12538.964666643598,1.5306353352836424,Qwen/Qwen3-30B-A3B,4
16,8192,1024,5576.881526000307,21.605455000099028,4025.0795581982907,503.13494477478633,Qwen/Qwen3-30B-A3B,4
32,1024,1,2471.6173685001195,0.0,13163.747263395844,12.855221936910004,Qwen/Qwen3-30B-A3B,4
32,1024,1024,1341.0205459999816,20.60798499996963,1392.6180842345887,1392.6180842345887,Qwen/Qwen3-30B-A3B,4
32,4096,1,10077.14732750037,0.0,12995.891909913551,3.172825173318738,Qwen/Qwen3-30B-A3B,4
32,4096,1024,5223.941240000386,24.379180000323686,3743.161637119081,935.7904092797703,Qwen/Qwen3-30B-A3B,4
32,8192,1,20780.610668999998,0.0,12591.9003583726,1.5370972117154054,Qwen/Qwen3-30B-A3B,4
32,8192,1024,12413.716363000276,24.770459999672312,4539.803362039928,567.475420254991,Qwen/Qwen3-30B-A3B,4
64,1024,1,4938.342534499498,0.0,13214.096577725735,12.904391189185288,Qwen/Qwen3-30B-A3B,4
64,1024,1024,2578.422769000099,30.87916999902518,1789.4663767025695,1789.4663767025695,Qwen/Qwen3-30B-A3B,4
64,4096,1,20066.461167999478,0.0,13028.787277388328,3.180856268893635,Qwen/Qwen3-30B-A3B,4
64,4096,1024,12772.11606200035,33.461385000009614,3581.2622787863097,895.3155696965774,Qwen/Qwen3-30B-A3B,4
64,8192,1,41435.23633699897,0.0,12621.386088768397,1.540696544039111,Qwen/Qwen3-30B-A3B,4
64,8192,1024,82158.76872049921,24.370025000280293,4669.518758213417,583.6898447766771,Qwen/Qwen3-30B-A3B,4
128,1024,1,9861.635847000798,0.0,13211.966210166274,12.902310752115502,Qwen/Qwen3-30B-A3B,4
128,1024,1024,5085.074801000701,40.680768999664,2100.0070010700942,2100.0070010700942,Qwen/Qwen3-30B-A3B,4
128,4096,1,40130.98661349886,0.0,13022.960023405134,3.179433599464144,Qwen/Qwen3-30B-A3B,4
128,4096,1024,100734.43201149986,33.7900599997738,3556.7755732923606,889.1938933230902,Qwen/Qwen3-30B-A3B,4
128,8192,1,82875.47444350002,0.0,12612.266318951315,1.5395832908876117,Qwen/Qwen3-30B-A3B,4
128,8192,1024,173007.62281049992,24.625694500173267,4670.722487859763,583.8403109824703,Qwen/Qwen3-30B-A3B,4
256,1024,1,19710.871742000563,0.0,13226.173867795254,12.916185417768803,Qwen/Qwen3-30B-A3B,4
256,1024,1024,56463.31256299982,40.87461900053313,2123.6314158303185,2123.6314158303185,Qwen/Qwen3-30B-A3B,4
256,4096,1,80323.53846400019,0.0,13036.013746592505,3.182620543601686,Qwen/Qwen3-30B-A3B,4
256,4096,1024,243665.38312849935,33.71869999955379,3573.4447980129216,893.3611995032304,Qwen/Qwen3-30B-A3B,4
256,8192,1,165906.19973400043,0.0,12626.851511173825,1.541363709860086,Qwen/Qwen3-30B-A3B,4
256,8192,1024,406026.11882349994,24.48000000003958,4690.558930840056,586.319866355007,Qwen/Qwen3-30B-A3B,4
