concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
128,1024,1,2966.855179499987,0.0,43248.7792279584,42.23513596480313,Qwen/Qwen2.5-7B-Instruct,1
128,1024,1024,133288.950357,14.049790000001394,886.7439260539063,886.7439260539063,Qwen/Qwen2.5-7B-Instruct,1
128,4096,1,13849.340275500026,0.0,37791.21066633437,9.22636979158554,Qwen/Qwen2.5-7B-Instruct,1
128,4096,1024,364141.5160539999,14.165245000015148,1348.592564338497,337.1481410846242,Qwen/Qwen2.5-7B-Instruct,1
128,8192,1,31579.68390750011,0.0,33171.31741641395,4.049233083058343,Qwen/Qwen2.5-7B-Instruct,1
128,8192,1024,933159.5322139997,13.904890000048908,1106.3158520666511,138.2894815083314,Qwen/Qwen2.5-7B-Instruct,1
256,1024,1,5941.024863500388,0.0,43714.13229874179,42.68958232299003,Qwen/Qwen2.5-7B-Instruct,1
256,1024,1024,266881.93416449986,14.067348999560636,884.1481651162193,884.1481651162193,Qwen/Qwen2.5-7B-Instruct,1
256,4096,1,27693.82808650016,0.0,37813.07494868899,9.231707751144773,Qwen/Qwen2.5-7B-Instruct,1
256,4096,1024,757807.9154759998,14.158369999677234,1348.6911570009247,337.1727892502312,Qwen/Qwen2.5-7B-Instruct,1
256,8192,1,63130.80101199921,0.0,33190.381812462176,4.051560279841574,Qwen/Qwen2.5-7B-Instruct,1
256,8192,1024,1879253.3572365001,13.885759000913822,1107.4135335612305,138.4266916951538,Qwen/Qwen2.5-7B-Instruct,1
