concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,185.35918850011512,0.0,40614.35525262804,39.66245630139457,Qwen/Qwen2.5-7B-Instruct,1
8,1024,1024,131.39969899975767,13.391780000347353,586.4524718234536,586.4524718234536,Qwen/Qwen2.5-7B-Instruct,1
8,4096,1,864.9023929997384,0.0,37370.88951003844,9.123752321786728,Qwen/Qwen2.5-7B-Instruct,1
8,4096,1024,7796.409958999902,13.932571000168537,1323.7147693061595,330.9286923265399,Qwen/Qwen2.5-7B-Instruct,1
8,8192,1,1973.5487560005822,0.0,32978.0010194205,4.025634890065979,Qwen/Qwen2.5-7B-Instruct,1
8,8192,1024,44268.3525020002,13.764054499915801,1116.866971964259,139.60837149553237,Qwen/Qwen2.5-7B-Instruct,1
16,1024,1,371.1422125002173,0.0,42886.89971979209,41.881738007609464,Qwen/Qwen2.5-7B-Instruct,1
16,1024,1024,236.5242784999282,13.806259999910253,851.1589113689322,851.1589113689322,Qwen/Qwen2.5-7B-Instruct,1
16,4096,1,1729.7987445003855,0.0,37620.90756711013,9.184791886501497,Qwen/Qwen2.5-7B-Instruct,1
16,4096,1024,30219.307041999855,13.960674999907496,1322.4778438713302,330.61946096783254,Qwen/Qwen2.5-7B-Instruct,1
16,8192,1,3947.505109999838,0.0,33075.955269180566,4.037592195944893,Qwen/Qwen2.5-7B-Instruct,1
16,8192,1024,102965.71241400033,13.76845000004323,1116.83445724145,139.60430715518126,Qwen/Qwen2.5-7B-Instruct,1
32,1024,1,742.3998400004166,0.0,43151.67495544688,42.14030757367859,Qwen/Qwen2.5-7B-Instruct,1
32,1024,1024,14849.18066399996,13.845769999534241,850.3729220190827,850.3729220190827,Qwen/Qwen2.5-7B-Instruct,1
32,4096,1,3460.590541000329,0.0,37728.06870401124,9.210954273440244,Qwen/Qwen2.5-7B-Instruct,1
32,4096,1024,75123.0423815,13.982904499698634,1312.501785223528,328.125446305882,Qwen/Qwen2.5-7B-Instruct,1
32,8192,1,7895.659497000452,0.0,33130.03665172885,4.044193927212994,Qwen/Qwen2.5-7B-Instruct,1
32,8192,1024,220323.34841549982,13.764044500476302,1116.9429243011202,139.61786553764003,Qwen/Qwen2.5-7B-Instruct,1
64,1024,1,1485.7580534999215,0.0,43476.40774122038,42.457429434785524,Qwen/Qwen2.5-7B-Instruct,1
64,1024,1024,58297.357302999444,13.827514500007965,902.3748590243804,902.3748590243804,Qwen/Qwen2.5-7B-Instruct,1
64,4096,1,6921.205134999582,0.0,37768.95954892911,9.220937389875271,Qwen/Qwen2.5-7B-Instruct,1
64,4096,1024,179258.1812819999,13.962629999696219,1352.849882803721,338.2124707009302,Qwen/Qwen2.5-7B-Instruct,1
64,8192,1,15788.626706500509,0.0,33162.110496111716,4.048109191419887,Qwen/Qwen2.5-7B-Instruct,1
64,8192,1024,454949.0938335002,13.766680000117049,1117.09920020514,139.6374000256425,Qwen/Qwen2.5-7B-Instruct,1
