concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,110.3950484998677,0.0,66962.08272623685,65.39265891234068,Qwen/Qwen3-8B,4
8,1024,1024,104.31699299988395,6.5987200005110935,1185.7540340998341,1185.7540340998341,Qwen/Qwen3-8B,4
8,4096,1,466.75036300030115,0.0,68614.85335949528,16.751673183470526,Qwen/Qwen3-8B,4
8,4096,1024,288.728924499992,7.244795000133308,4159.923014138274,1039.9807535345685,Qwen/Qwen3-8B,4
8,8192,1,1022.2139235002032,0.0,63280.34328661192,7.724651280103994,Qwen/Qwen3-8B,4
8,8192,1024,608.5774450002646,7.232734999888635,7756.102952765159,969.5128690956449,Qwen/Qwen3-8B,4
16,1024,1,221.47602199993344,0.0,70575.57421930687,68.92145919854187,Qwen/Qwen3-8B,4
16,1024,1024,146.70492200002627,7.348979499965935,2103.717926474369,2103.717926474369,Qwen/Qwen3-8B,4
16,4096,1,933.5430894998353,0.0,69281.13168263991,16.91433878970701,Qwen/Qwen3-8B,4
16,4096,1024,522.9551165007251,7.89359999998851,7248.907016381023,1812.2267540952557,Qwen/Qwen3-8B,4
16,8192,1,2044.5770715004983,0.0,63640.21269882731,7.768580651712318,Qwen/Qwen3-8B,4
16,8192,1024,1124.535701500463,8.657850000417966,11948.3056918875,1493.5382114859376,Qwen/Qwen3-8B,4
32,1024,1,443.2639029996608,0.0,71700.11808968031,70.01964657195343,Qwen/Qwen3-8B,4
32,1024,1024,257.0999310000843,8.894380000128876,3425.6426914101135,3425.6426914101135,Qwen/Qwen3-8B,4
32,4096,1,1867.3821540000972,0.0,69680.87834457168,17.011933189592696,Qwen/Qwen3-8B,4
32,4096,1024,992.345988499892,9.87609000003431,10920.291873260872,2730.072968315218,Qwen/Qwen3-8B,4
32,8192,1,4089.309733999926,0.0,63861.03629581477,7.795536657203951,Qwen/Qwen3-8B,4
32,8192,1024,2146.7554955002015,13.431449000108842,14643.374978810976,1830.421872351372,Qwen/Qwen3-8B,4
64,1024,1,886.8960649997462,0.0,72646.6487758321,70.94399294514854,Qwen/Qwen3-8B,4
64,1024,1024,482.8470970005583,12.020589500480128,4966.035951326352,4966.035951326352,Qwen/Qwen3-8B,4
64,4096,1,3735.059355500198,0.0,69882.10004803704,17.061059582040293,Qwen/Qwen3-8B,4
64,4096,1024,1931.2551144998906,14.310055000350985,14182.1489890759,3545.537247268975,Qwen/Qwen3-8B,4
64,8192,1,8178.656831999888,0.0,63942.47026793379,7.805477327628637,Qwen/Qwen3-8B,4
64,8192,1024,4197.242356999595,23.260779500105855,16359.319208043686,2044.9149010054607,Qwen/Qwen3-8B,4
128,1024,1,1774.6112479999283,0.0,72755.27318365463,71.05007146841272,Qwen/Qwen3-8B,4
128,1024,1024,942.7421274999688,15.847589500026515,7314.562747091055,7314.562747091055,Qwen/Qwen3-8B,4
128,4096,1,7470.423752000443,0.0,69931.14904583732,17.073034435018876,Qwen/Qwen3-8B,4
128,4096,1024,3779.5042450002256,25.002630000017234,14423.126091521652,3605.781522880413,Qwen/Qwen3-8B,4
128,8192,1,16358.812759000102,0.0,63991.981467004065,7.811521175171395,Qwen/Qwen3-8B,4
128,8192,1024,36234.96044549983,23.957019999670592,16215.5311404661,2026.9413925582626,Qwen/Qwen3-8B,4
256,1024,1,3549.231484500069,0.0,72923.10689380416,71.21397157598062,Qwen/Qwen3-8B,4
256,1024,1024,1877.0996949997425,22.73408000019117,9744.83609544945,9744.83609544945,Qwen/Qwen3-8B,4
256,4096,1,14949.800822499583,0.0,69997.38113238731,17.089204378024245,Qwen/Qwen3-8B,4
256,4096,1024,36172.14620250024,24.98898999965604,14856.394866738136,3714.098716684534,Qwen/Qwen3-8B,4
256,8192,1,32720.143312500568,0.0,64016.82308828503,7.814553599644169,Qwen/Qwen3-8B,4
256,8192,1024,101429.51884499962,24.058418999629794,16227.751484173896,2028.468935521737,Qwen/Qwen3-8B,4
