concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,292.7542974999824,0.0,26481.23078493817,25.86057693841618,inclusionAI/Ling-mini-2.0,4
8,1024,1024,201.38207899998406,4.835689499998352,1546.878490174688,1546.878490174688,inclusionAI/Ling-mini-2.0,4
8,4096,1,1141.3842535000072,0.0,28451.034571741653,6.9460533622416145,inclusionAI/Ling-mini-2.0,4
8,4096,1024,659.7903569999914,5.0901594999857025,5147.256288475519,1286.8140721188797,inclusionAI/Ling-mini-2.0,4
8,8192,1,2295.397681499992,0.0,28262.11005530353,3.449964606360294,inclusionAI/Ling-mini-2.0,4
8,8192,1024,1450.67079049997,5.429615000025478,8351.005859021461,1043.8757323776827,inclusionAI/Ling-mini-2.0,4
16,1024,1,585.6222489999823,0.0,27472.538144409078,26.82865053164949,inclusionAI/Ling-mini-2.0,4
16,1024,1024,349.6513184999799,6.713629499984108,2191.9145585561723,2191.9145585561723,inclusionAI/Ling-mini-2.0,4
16,4096,1,2285.612374500005,0.0,28526.914503745993,6.964578736266112,inclusionAI/Ling-mini-2.0,4
16,4096,1024,1305.969274000006,7.329659999982141,6687.369756354067,1671.8424390885168,inclusionAI/Ling-mini-2.0,4
16,8192,1,4615.306632999989,0.0,28301.752658066034,3.4548037912678264,inclusionAI/Ling-mini-2.0,4
16,8192,1024,2768.2359709999673,8.093635000022914,10151.697369164911,1268.9621711456139,inclusionAI/Ling-mini-2.0,4
32,1024,1,1166.0303730000123,0.0,27706.305167642975,27.056938640276343,inclusionAI/Ling-mini-2.0,4
32,1024,1024,681.9699170000035,9.99813099997482,2893.408966511965,2893.408966511965,inclusionAI/Ling-mini-2.0,4
32,4096,1,4546.613923000052,0.0,28712.526338668788,7.0098941256515594,inclusionAI/Ling-mini-2.0,4
32,4096,1024,2444.333894499948,11.187394999979006,8236.408037881522,2059.1020094703804,inclusionAI/Ling-mini-2.0,4
32,8192,1,9169.100556499983,0.0,28495.528347605814,3.4784580502448503,inclusionAI/Ling-mini-2.0,4
32,8192,1024,4781.135454500031,12.929864999989604,11745.244051796746,1468.1555064745933,inclusionAI/Ling-mini-2.0,4
64,1024,1,2323.0028939999556,0.0,27928.095245381402,27.273530513067776,inclusionAI/Ling-mini-2.0,4
64,1024,1024,1270.0450670000123,14.839230000006864,3708.2557631735895,3708.2557631735895,inclusionAI/Ling-mini-2.0,4
64,4096,1,9031.250048500056,0.0,28853.399134412557,7.044286898049941,inclusionAI/Ling-mini-2.0,4
64,4096,1024,4826.674701999991,17.711890000043695,9580.368520932005,2395.092130233001,inclusionAI/Ling-mini-2.0,4
64,8192,1,18225.92581050003,0.0,28619.263282654767,3.4935624124334432,inclusionAI/Ling-mini-2.0,4
64,8192,1024,9791.3268530001,21.040289999973538,13105.100025120817,1638.1375031401021,inclusionAI/Ling-mini-2.0,4
128,1024,1,4647.721481499957,0.0,27916.143054724253,27.261858451879153,inclusionAI/Ling-mini-2.0,4
128,1024,1024,2468.855199000018,21.261890000005224,4951.6102138334245,4951.6102138334245,inclusionAI/Ling-mini-2.0,4
128,4096,1,18065.700542000057,0.0,28831.673325617932,7.0389827455121905,inclusionAI/Ling-mini-2.0,4
128,4096,1024,9509.384071,28.525588999855245,11057.821846774134,2764.4554616935334,inclusionAI/Ling-mini-2.0,4
128,8192,1,36451.102302000094,0.0,28594.686429623223,3.490562308303616,inclusionAI/Ling-mini-2.0,4
128,8192,1024,21733.302909500024,30.190697999955773,13462.068424838884,1682.7585531048605,inclusionAI/Ling-mini-2.0,4
256,1024,1,9296.92056700003,0.0,27985.010521480148,27.329111837382957,inclusionAI/Ling-mini-2.0,4
256,1024,1024,4834.813524999959,28.302702999781104,6814.911705033116,6814.911705033116,inclusionAI/Ling-mini-2.0,4
256,4096,1,36169.89078000006,0.0,28903.30773216283,7.056471614297566,inclusionAI/Ling-mini-2.0,4
256,4096,1024,22867.432556999804,34.53563950006355,11516.791271089207,2879.1978177723017,inclusionAI/Ling-mini-2.0,4
256,8192,1,72977.22325500012,0.0,28660.731419736916,3.498624440885854,inclusionAI/Ling-mini-2.0,4
256,8192,1024,86357.0176044998,30.09532899977785,13494.080724820366,1686.7600906025457,inclusionAI/Ling-mini-2.0,4
