concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,723.2460649999837,0.0,9665.778108209042,9.439236433797893,google/gemma-2-2b-it,1
8,1024,1024,620.5411109999659,139.4219979999889,57.04215460930374,57.04215460930374,google/gemma-2-2b-it,1
8,4096,1,2669.5212019999985,0.0,11596.482981354966,2.8311726028698647,google/gemma-2-2b-it,1
8,4096,1024,1736.7477165000196,141.09342349996723,222.4469228482723,55.61173071206807,google/gemma-2-2b-it,1
8,8192,1,5641.807940499916,0.0,11299.151065760127,1.3792909015820467,google/gemma-2-2b-it,1
8,8192,1024,3405.0062864999973,143.32237999997233,429.55244681890093,53.69405585236262,google/gemma-2-2b-it,1
16,1024,1,1432.273122500078,0.0,10672.273904388825,10.422142484754712,google/gemma-2-2b-it,1
16,1024,1024,1029.802034499994,140.62607999994725,112.60825507941337,112.60825507941337,google/gemma-2-2b-it,1
16,4096,1,5502.68695800014,0.0,11796.72619012553,2.8800601050111156,google/gemma-2-2b-it,1
16,4096,1024,3076.6965575000995,143.98118000008253,428.467832837582,107.1169582093955,google/gemma-2-2b-it,1
16,8192,1,11447.35305249992,0.0,11395.754952500718,1.3910833682251853,google/gemma-2-2b-it,1
16,8192,1024,6240.022983999779,148.4885074999056,801.5910269187708,100.19887836484635,google/gemma-2-2b-it,1
32,1024,1,2864.941718000182,0.0,11031.084538725407,10.77254349484903,google/gemma-2-2b-it,1
32,1024,1024,1728.0059219999657,143.29945200006478,218.80657840294367,218.80657840294367,google/gemma-2-2b-it,1
32,4096,1,11005.722396500005,0.0,11851.263458710748,2.8933748678493036,google/gemma-2-2b-it,1
32,4096,1024,5832.885763000149,150.1020124999286,795.658348729852,198.914587182463,google/gemma-2-2b-it,1
32,8192,1,22894.446506499662,0.0,11421.827987157243,1.3942661117135307,google/gemma-2-2b-it,1
32,8192,1024,14853.963873499652,152.24846850014728,933.6614755626364,116.70768444532955,google/gemma-2-2b-it,1
64,1024,1,5730.662303999452,0.0,11134.392442645507,10.873430119771003,google/gemma-2-2b-it,1
64,1024,1024,3130.743109999912,148.2786690003195,415.6583892330944,415.6583892330944,google/gemma-2-2b-it,1
64,4096,1,22012.216556999647,0.0,11878.45679261573,2.9000138653847,google/gemma-2-2b-it,1
64,4096,1024,170523.7219239998,152.6029685001049,794.1795869158049,198.54489672895122,google/gemma-2-2b-it,1
64,8192,1,45790.79578700021,0.0,11434.636599836836,1.39582966306602,google/gemma-2-2b-it,1
64,8192,1024,348759.98202200024,152.27079800024512,933.2780682098686,116.65975852623357,google/gemma-2-2b-it,1
128,1024,1,11461.830369000381,0.0,11237.548096548577,10.97416806303572,google/gemma-2-2b-it,1
128,1024,1024,6980.435374000081,152.65421799995238,489.1804211968046,489.1804211968046,google/gemma-2-2b-it,1
128,4096,1,44022.92742950067,0.0,11880.282879689683,2.900459687424239,google/gemma-2-2b-it,1
128,4096,1024,348377.58879600005,152.60495800066565,855.3081784904516,213.8270446226129,google/gemma-2-2b-it,1
128,8192,1,91579.0166604993,0.0,11435.484511431674,1.3959331678993743,google/gemma-2-2b-it,1
128,8192,1024,861893.7035794997,152.26599899961002,974.2735801806575,121.78419752258219,google/gemma-2-2b-it,1
