concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,183.73439199967834,0.0,40696.49480842919,39.74267071135663,Qwen/Qwen2.5-7B-Instruct,1
8,1024,1024,132.3548389991629,13.648169499901996,575.4282394053263,575.4282394053263,Qwen/Qwen2.5-7B-Instruct,1
8,4096,1,857.9956479998145,0.0,37649.331423235526,9.19173130450086,Qwen/Qwen2.5-7B-Instruct,1
8,4096,1024,504.7785474998818,14.895530001012958,2018.1714657216503,504.5428664304126,Qwen/Qwen2.5-7B-Instruct,1
8,8192,1,1960.3420575003838,0.0,33176.61151342875,4.049879335135345,Qwen/Qwen2.5-7B-Instruct,1
8,8192,1024,1133.6522744995818,16.751830000430346,3425.610863856874,428.20135798210924,Qwen/Qwen2.5-7B-Instruct,1
16,1024,1,367.73325399917667,0.0,43093.55040438946,42.083545316786584,Qwen/Qwen2.5-7B-Instruct,1
16,1024,1024,227.22786300073494,14.327950000733836,1082.0231367514828,1082.0231367514828,Qwen/Qwen2.5-7B-Instruct,1
16,4096,1,1716.2607610007399,0.0,37880.793809922674,9.248240676250653,Qwen/Qwen2.5-7B-Instruct,1
16,4096,1024,934.7004124992964,17.009955000503396,3422.7053020382696,855.6763255095674,Qwen/Qwen2.5-7B-Instruct,1
16,8192,1,3920.9388299996135,0.0,33289.769913530494,4.063692616397765,Qwen/Qwen2.5-7B-Instruct,1
16,8192,1024,2115.558650500134,20.559899499858147,5260.3754829591435,657.5469353698929,Qwen/Qwen2.5-7B-Instruct,1
32,1024,1,735.8079200002976,0.0,43593.01407207489,42.571302804760634,Qwen/Qwen2.5-7B-Instruct,1
32,1024,1024,410.50331499991444,15.904979500191985,1929.0268295832216,1929.0268295832216,Qwen/Qwen2.5-7B-Instruct,1
32,4096,1,3432.7568005010107,0.0,38009.44469685069,9.279649584192063,Qwen/Qwen2.5-7B-Instruct,1
32,4096,1024,1794.481594500212,21.157879500606214,5219.007056342355,1304.7517640855888,Qwen/Qwen2.5-7B-Instruct,1
32,8192,1,7841.504374500801,0.0,33351.28224411906,4.071201445815315,Qwen/Qwen2.5-7B-Instruct,1
32,8192,1024,5076.270548999673,22.827289500128245,5755.973498100379,719.4966872625474,Qwen/Qwen2.5-7B-Instruct,1
64,1024,1,1472.3358640003426,0.0,44011.60744542017,42.98008539591814,Qwen/Qwen2.5-7B-Instruct,1
64,1024,1024,781.1769689997163,18.533544499405252,3193.730331326991,3193.730331326991,Qwen/Qwen2.5-7B-Instruct,1
64,4096,1,6865.760353500264,0.0,38078.69042973967,9.296555280698161,Qwen/Qwen2.5-7B-Instruct,1
64,4096,1024,27996.78448800023,22.831569999652856,5715.892644410781,1428.9731611026953,Qwen/Qwen2.5-7B-Instruct,1
64,8192,1,15679.591915999481,0.0,33388.518134678205,4.0757468426120855,Qwen/Qwen2.5-7B-Instruct,1
64,8192,1024,59427.77705900062,22.884590000103344,5755.319888860332,719.4149861075415,Qwen/Qwen2.5-7B-Instruct,1
128,1024,1,2937.0121854999525,0.0,44042.69583360667,43.01044515000651,Qwen/Qwen2.5-7B-Instruct,1
128,1024,1024,1657.8676039998754,21.341095000025234,4076.2912331158145,4076.2912331158145,Qwen/Qwen2.5-7B-Instruct,1
128,4096,1,13731.835318000776,0.0,38114.95483687623,9.305408895721737,Qwen/Qwen2.5-7B-Instruct,1
128,4096,1024,58097.58071750002,22.891309499755153,5715.222441243763,1428.8056103109407,Qwen/Qwen2.5-7B-Instruct,1
128,8192,1,31356.46477099999,0.0,33410.637794206625,4.078446996363113,Qwen/Qwen2.5-7B-Instruct,1
128,8192,1024,145282.8102579997,22.89020900025207,5896.989752636596,737.1237190795745,Qwen/Qwen2.5-7B-Instruct,1
