concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,262.99601250048,0.0,29452.10414599464,28.76182045507289,Qwen/Qwen-7B,1
8,1024,1024,177.23849349931697,19.671390000439715,402.5171627426454,402.5171627426454,Qwen/Qwen-7B,1
8,4096,1,1571.5629490005085,0.0,20711.20054697455,5.056445446038708,Qwen/Qwen-7B,1
8,4096,1024,24369.36422600047,22.601914500228304,684.2417022278105,171.06042555695262,Qwen/Qwen-7B,1
8,8192,1,4182.291963000353,0.0,15626.972176677467,1.9075893770358237,Qwen/Qwen-7B,1
8,8192,1024,77207.42842299934,23.967900000570808,641.2027118038076,80.15033897547595,Qwen/Qwen-7B,1
16,1024,1,526.4336239997647,0.0,30505.368725186392,29.790399145689836,Qwen/Qwen-7B,1
16,1024,1024,11274.4996145002,20.944864500052063,451.8135895879051,451.8135895879051,Qwen/Qwen-7B,1
16,4096,1,3143.4955830000035,0.0,20778.223421158185,5.072808452431198,Qwen/Qwen-7B,1
16,4096,1024,72269.9289029997,22.61391999945772,683.7843460156811,170.94608650392027,Qwen/Qwen-7B,1
16,8192,1,8364.917034999962,0.0,15635.059845916945,1.9085766413472833,Qwen/Qwen-7B,1
16,8192,1024,179420.45623249942,23.976819498784607,641.1565840608848,80.1445730076106,Qwen/Qwen-7B,1
32,1024,1,1053.1809619997148,0.0,30666.456539369756,29.947711464228277,Qwen/Qwen-7B,1
32,1024,1024,44474.14442599984,21.114520000992343,451.44239724262064,451.44239724262064,Qwen/Qwen-7B,1
32,4096,1,6287.379579499429,0.0,20806.83942333182,5.07979478108687,Qwen/Qwen-7B,1
32,4096,1024,168080.25821699994,22.60437999939313,683.9471398357833,170.98678495894583,Qwen/Qwen-7B,1
32,8192,1,16744.574339999417,0.0,15646.862082457936,1.910017344050041,Qwen/Qwen-7B,1
32,8192,1024,383913.65704000054,23.976190001121722,641.0660594957342,80.13325743696677,Qwen/Qwen-7B,1
64,1024,1,2104.8390790001577,0.0,30735.550820021665,30.015186347677407,Qwen/Qwen-7B,1
64,1024,1024,110935.47564099936,21.300339998560958,450.6629084179026,450.6629084179026,Qwen/Qwen-7B,1
64,4096,1,12572.849623498769,0.0,20820.649091634754,5.083166282137391,Qwen/Qwen-7B,1
64,4096,1024,360116.39790200023,22.633749998931307,683.1602274822104,170.7900568705526,Qwen/Qwen-7B,1
64,8192,1,33467.0480604982,0.0,15656.23897831875,1.9111619846580505,Qwen/Qwen-7B,1
64,8192,1024,793019.2850144994,23.9842899973155,640.914189397916,80.1142736747395,Qwen/Qwen-7B,1
128,1024,1,4196.500919000755,0.0,30854.34525489929,30.131196537987588,Qwen/Qwen-7B,1
128,1024,1024,265659.23131949967,21.299189000274055,458.17932228781575,458.17932228781575,Qwen/Qwen-7B,1
128,4096,1,25153.88853799959,0.0,20827.79153010984,5.084910041530723,Qwen/Qwen-7B,1
128,4096,1024,743870.327965,22.637499998381827,683.082321143738,170.7705802859345,Qwen/Qwen-7B,1
128,8192,1,66938.4798709998,0.0,15654.588725200008,1.9109605377441417,Qwen/Qwen-7B,1
128,8192,1024,1611284.2422100003,23.974678999366006,640.8346116281681,80.10432645352101,Qwen/Qwen-7B,1
