concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,104.3591955001375,0.0,70419.77616544903,68.76931266157132,Qwen/Qwen-7B,4
8,1024,1024,93.62702549992719,5.493879999903584,1419.6158235901007,1419.6158235901007,Qwen/Qwen-7B,4
8,4096,1,515.6818239997847,0.0,62684.120895533306,15.303740453011061,Qwen/Qwen-7B,4
8,4096,1024,304.8353295000652,8.493694999970103,3533.4621310353355,883.3655327588339,Qwen/Qwen-7B,4
8,8192,1,1223.6278375000893,0.0,53215.675746431014,6.496054168265505,Qwen/Qwen-7B,4
8,8192,1024,706.2909539999964,12.377670000205399,4704.966252794571,588.1207815993214,Qwen/Qwen-7B,4
16,1024,1,209.10415499997725,0.0,75589.80381578086,73.8181677888485,Qwen/Qwen-7B,4
16,1024,1024,132.6998495001135,6.491520000054152,2340.133797252698,2340.133797252698,Qwen/Qwen-7B,4
16,4096,1,1031.7517550001867,0.0,63063.14338491662,15.39627524045816,Qwen/Qwen-7B,4
16,4096,1024,564.5480099999531,12.626445000023523,4680.278870085872,1170.069717521468,Qwen/Qwen-7B,4
16,8192,1,2447.7409769999667,0.0,53346.22423048577,6.51199026251047,Qwen/Qwen-7B,4
16,8192,1024,1322.3331330000292,20.719725000162725,5534.963430113583,691.8704287641979,Qwen/Qwen-7B,4
32,1024,1,418.70793949988183,0.0,76075.78150171833,74.29275537277181,Qwen/Qwen-7B,4
32,1024,1024,244.32567650001147,9.696609999991779,3158.7050769700227,3158.7050769700227,Qwen/Qwen-7B,4
32,4096,1,2063.962848499841,0.0,63236.34771669585,15.438561454271447,Qwen/Qwen-7B,4
32,4096,1024,1116.3290984998184,22.078769000017928,5274.412796233193,1318.6031990582983,Qwen/Qwen-7B,4
32,8192,1,4895.956309999974,0.0,53430.0805428827,6.522226628769861,Qwen/Qwen-7B,4
32,8192,1024,27915.189391500237,24.040779000188195,5509.222165439321,688.6527706799151,Qwen/Qwen-7B,4
64,1024,1,837.8198825000709,0.0,76464.53702334149,74.67239943685692,Qwen/Qwen-7B,4
64,1024,1024,468.4979509997902,15.717300000233081,3835.914367532229,3835.914367532229,Qwen/Qwen-7B,4
64,4096,1,4128.187299999809,0.0,63328.001411765894,15.460937844669408,Qwen/Qwen-7B,4
64,4096,1024,26689.165076500103,23.002469999937603,5304.174494982713,1326.0436237456784,Qwen/Qwen-7B,4
64,8192,1,9792.279116999907,0.0,53472.28180062515,6.527378149490374,Qwen/Qwen-7B,4
64,8192,1024,57330.541507499904,24.032069999975647,5579.665683264007,697.4582104080009,Qwen/Qwen-7B,4
128,1024,1,1672.9242235001038,0.0,77155.89765711408,75.34755630577547,Qwen/Qwen-7B,4
128,1024,1024,1082.2369750001144,19.232230999932654,3930.0831208502295,3930.0831208502295,Qwen/Qwen-7B,4
128,4096,1,8257.351082500008,0.0,63362.95683996181,15.4694718847563,Qwen/Qwen-7B,4
128,4096,1024,78299.05279650007,23.20480000025782,5307.25530532991,1326.8138263324774,Qwen/Qwen-7B,4
128,8192,1,19585.156208500164,0.0,53486.51939629516,6.5291161372430615,Qwen/Qwen-7B,4
128,8192,1024,165696.04275699976,24.03786000013497,5613.105985440606,701.6382481800757,Qwen/Qwen-7B,4
256,1024,1,3347.7443899996615,0.0,77363.88588726587,75.55066981178308,Qwen/Qwen-7B,4
256,1024,1024,43993.111057499846,19.89919000016016,3916.7466277291655,3916.7466277291655,Qwen/Qwen-7B,4
256,4096,1,16520.903981000174,0.0,63381.77211865105,15.474065458655042,Qwen/Qwen-7B,4
256,4096,1024,157913.28487949976,23.202190000120027,5338.260822622552,1334.565205655638,Qwen/Qwen-7B,4
256,8192,1,39175.50096250034,0.0,53494.28548964058,6.530064146684641,Qwen/Qwen-7B,4
256,8192,1024,333317.81661150034,24.03796999988117,5630.486217327996,703.8107771659995,Qwen/Qwen-7B,4
