concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,4096,1,1659.3292434999967,0.0,19615.743652922956,4.788999915264394,Qwen/Qwen3-32B,4
8,4096,1024,1066.000794500269,19.02218899977015,1552.3237684566614,388.08094211416534,Qwen/Qwen3-32B,4
16,4096,1,3320.4173170001923,0.0,19661.667765739945,4.800211856870104,Qwen/Qwen3-32B,4
16,4096,1024,1795.4891720000887,21.73847999983991,2558.951868941416,639.737967235354,Qwen/Qwen3-32B,4
32,4096,1,6643.738014000064,0.0,19683.131169728633,4.8054519457345295,Qwen/Qwen3-32B,4
32,4096,1024,3771.7722970000978,23.869689999628463,3357.1104340164616,839.2776085041154,Qwen/Qwen3-32B,4
64,4096,1,13289.054618999671,0.0,19700.286408935957,4.80964023655663,Qwen/Qwen3-32B,4
64,4096,1024,34705.38584099995,23.988299999473384,3357.291018096341,839.3227545240852,Qwen/Qwen3-32B,4
128,4096,1,26577.118219499425,0.0,19710.436460016273,4.8121182763711605,Qwen/Qwen3-32B,4
128,4096,1024,121481.23425699987,24.04095000019879,3354.9241068464535,838.7310267116134,Qwen/Qwen3-32B,4
256,4096,1,53139.45158699971,0.0,19717.3262479166,4.813800353495264,Qwen/Qwen3-32B,4
256,4096,1024,271005.15617349994,24.050330000136455,3416.250994594491,854.0627486486228,Qwen/Qwen3-32B,4
