concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,84.8619549999512,0.0,85057.43742624947,83.06390373657175,Qwen/Qwen2.5-7B-Instruct,4
8,1024,1024,85.3358599999865,4.735709999977189,1635.0429931660974,1635.0429931660974,Qwen/Qwen2.5-7B-Instruct,4
8,4096,1,400.94114849989637,0.0,79928.3302150719,19.513752493914037,Qwen/Qwen2.5-7B-Instruct,4
8,4096,1024,247.12489450007524,4.8868899998524284,6071.930288307729,1517.9825720769322,Qwen/Qwen2.5-7B-Instruct,4
8,8192,1,927.0922969997173,0.0,69782.56891851505,8.51837999493592,Qwen/Qwen2.5-7B-Instruct,4
8,8192,1024,510.66697350006507,4.8489349999272235,11028.916819429032,1378.614602428629,Qwen/Qwen2.5-7B-Instruct,4
16,1024,1,169.75806899995405,0.0,91226.60055420155,89.08847710371245,Qwen/Qwen2.5-7B-Instruct,4
16,1024,1024,113.7055550000241,5.16840500017679,2985.146842353058,2985.146842353058,Qwen/Qwen2.5-7B-Instruct,4
16,4096,1,802.1591930003069,0.0,80678.51424924686,19.696902892882534,Qwen/Qwen2.5-7B-Instruct,4
16,4096,1024,449.5891034998749,5.357685000035417,10358.43158727607,2589.6078968190177,Qwen/Qwen2.5-7B-Instruct,4
16,8192,1,1854.5848150001802,0.0,70182.63664895367,8.567216387811728,Qwen/Qwen2.5-7B-Instruct,4
16,8192,1024,1029.3858570000793,6.469394999840006,15357.054281833833,1919.631785229229,Qwen/Qwen2.5-7B-Instruct,4
32,1024,1,340.4082129998187,0.0,92432.0840068101,90.26570703790048,Qwen/Qwen2.5-7B-Instruct,4
32,1024,1024,200.2622740001243,6.558194999797706,4615.9738531418,4615.9738531418,Qwen/Qwen2.5-7B-Instruct,4
32,4096,1,1604.4607194999116,0.0,81052.4177237432,19.788187920835743,Qwen/Qwen2.5-7B-Instruct,4
32,4096,1024,853.2623569999487,7.881199999928867,13508.362371194042,3377.0905927985104,Qwen/Qwen2.5-7B-Instruct,4
32,8192,1,3709.011227000019,0.0,70034.36415957977,8.549116718698702,Qwen/Qwen2.5-7B-Instruct,4
32,8192,1024,1959.6638640000492,11.756564500046807,16593.463475497978,2074.1829344372472,Qwen/Qwen2.5-7B-Instruct,4
64,1024,1,681.0754604998692,0.0,94321.95933341591,92.11128841153898,Qwen/Qwen2.5-7B-Instruct,4
64,1024,1024,375.4613450000761,9.131010000146489,6503.008686388712,6503.008686388712,Qwen/Qwen2.5-7B-Instruct,4
64,4096,1,3209.402761000092,0.0,81291.92398812632,19.846661129913652,Qwen/Qwen2.5-7B-Instruct,4
64,4096,1024,1659.0838075001102,13.19937499988555,15656.964345849658,3914.2410864624144,Qwen/Qwen2.5-7B-Instruct,4
64,8192,1,7417.467671499935,0.0,70499.91187268899,8.605946273521605,Qwen/Qwen2.5-7B-Instruct,4
64,8192,1024,3806.970391999812,20.902978999856714,18163.47951617829,2270.434939522286,Qwen/Qwen2.5-7B-Instruct,4
128,1024,1,1362.4289609999778,0.0,92886.79429669693,90.7097600553681,Qwen/Qwen2.5-7B-Instruct,4
128,1024,1024,721.429149999949,13.627769499862552,8558.889624060423,8558.889624060423,Qwen/Qwen2.5-7B-Instruct,4
128,4096,1,6417.683390500088,0.0,81389.44008640708,19.870468771095478,Qwen/Qwen2.5-7B-Instruct,4
128,4096,1024,3269.279418999986,23.40176000006977,17214.211794674135,4303.552948668534,Qwen/Qwen2.5-7B-Instruct,4
128,8192,1,14837.086955499672,0.0,70548.0218920209,8.611819078615833,Qwen/Qwen2.5-7B-Instruct,4
128,8192,1024,7522.43263750006,38.728859999537235,19175.388817277577,2396.923602159697,Qwen/Qwen2.5-7B-Instruct,4
256,1024,1,2723.92083800014,0.0,94779.95934307393,92.55855404597064,Qwen/Qwen2.5-7B-Instruct,4
256,1024,1024,1473.568399999749,20.622069999717496,10797.363917641544,10797.363917641544,Qwen/Qwen2.5-7B-Instruct,4
256,4096,1,12843.803956500324,0.0,81449.89873745987,19.885229183950162,Qwen/Qwen2.5-7B-Instruct,4
256,4096,1024,6519.340553500115,43.66544399954364,18101.728649592544,4525.432162398136,Qwen/Qwen2.5-7B-Instruct,4
256,8192,1,29673.293513500084,0.0,70587.06829561622,8.616585485304714,Qwen/Qwen2.5-7B-Instruct,4
256,8192,1024,18316.108022499975,48.73370000041177,20162.484621380085,2520.3105776725106,Qwen/Qwen2.5-7B-Instruct,4
