concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,617.8704700000139,0.0,12802.349611223772,12.502294542210715,Qwen/Qwen3-30B-A3B,4
8,1024,1024,412.12612200001786,10.243975000008732,736.3804212708187,736.3804212708187,Qwen/Qwen3-30B-A3B,4
8,4096,1,2525.389586000017,0.0,12928.436978072566,3.1563566840997477,Qwen/Qwen3-30B-A3B,4
8,4096,1024,1437.2802739999884,11.371277999955964,2308.2702047347466,577.0675511836866,Qwen/Qwen3-30B-A3B,4
8,8192,1,5213.437604499973,0.0,12524.60856282012,1.528882881203628,Qwen/Qwen3-30B-A3B,4
8,8192,1024,2957.1917619999795,12.384999500056892,3654.578862735247,456.8223578419059,Qwen/Qwen3-30B-A3B,4
16,1024,1,1236.3447419999716,0.0,13092.405246905635,12.785551998931284,Qwen/Qwen3-30B-A3B,4
16,1024,1024,722.219870999993,16.48278999999775,904.4178139019047,904.4178139019047,Qwen/Qwen3-30B-A3B,4
16,4096,1,5045.801256000004,0.0,12953.763358702043,3.162539882495616,Qwen/Qwen3-30B-A3B,4
16,4096,1024,2705.4529760000037,18.87065049999137,2683.6224093561423,670.9056023390356,Qwen/Qwen3-30B-A3B,4
16,8192,1,10434.466761500005,0.0,12543.52700863456,1.531192261796211,Qwen/Qwen3-30B-A3B,4
16,8192,1024,5575.587331000008,21.578164999993987,4028.715537628896,503.589442203612,Qwen/Qwen3-30B-A3B,4
32,1024,1,2470.990248000078,0.0,13168.348830823004,12.85971565510059,Qwen/Qwen3-30B-A3B,4
32,1024,1024,1343.4662490000164,20.56032900009086,1395.3034450478715,1395.3034450478715,Qwen/Qwen3-30B-A3B,4
32,4096,1,10074.55689699998,0.0,12998.806712247946,3.1735367949824087,Qwen/Qwen3-30B-A3B,4
32,4096,1024,5224.153238500094,24.35895899998286,3747.3693183699165,936.8423295924791,Qwen/Qwen3-30B-A3B,4
32,8192,1,20773.787098499837,0.0,12595.826188416044,1.5375764390156303,Qwen/Qwen3-30B-A3B,4
32,8192,1024,12409.449725000059,24.755755000001045,4541.37575289784,567.67196911223,Qwen/Qwen3-30B-A3B,4
64,1024,1,4936.395485999924,0.0,13212.573318150891,12.90290363100673,Qwen/Qwen3-30B-A3B,4
64,1024,1024,2583.606637500111,30.812425500130303,1792.359688020977,1792.359688020977,Qwen/Qwen3-30B-A3B,4
64,4096,1,20060.863038500087,0.0,13032.122974079723,3.1816706479686823,Qwen/Qwen3-30B-A3B,4
64,4096,1024,12769.152134000138,33.41642500004127,3584.0865384344856,896.0216346086214,Qwen/Qwen3-30B-A3B,4
64,8192,1,41422.74390249998,0.0,12624.987845320571,1.5411362115869838,Qwen/Qwen3-30B-A3B,4
64,8192,1024,82137.68524500006,24.36374549984066,4661.967980680958,582.7459975851198,Qwen/Qwen3-30B-A3B,4
128,1024,1,9859.458280999888,0.0,13212.261324338884,12.902598949549692,Qwen/Qwen3-30B-A3B,4
128,1024,1024,5081.13223700002,40.573319999793966,2103.503740118031,2103.503740118031,Qwen/Qwen3-30B-A3B,4
128,4096,1,40120.39588200014,0.0,13025.847013642866,3.180138431065153,Qwen/Qwen3-30B-A3B,4
128,4096,1024,100623.60210549991,33.72970949999399,3560.597610532899,890.1494026332248,Qwen/Qwen3-30B-A3B,4
128,8192,1,82848.12136649975,0.0,12616.303367707338,1.5400760946908372,Qwen/Qwen3-30B-A3B,4
128,8192,1024,172991.54461099987,24.61551449982835,4671.685589788917,583.9606987236147,Qwen/Qwen3-30B-A3B,4
256,1024,1,19705.465452499993,0.0,13229.274346567085,12.919213229069419,Qwen/Qwen3-30B-A3B,4
256,1024,1024,56388.321930999606,40.78907950042776,2126.078840252885,2126.078840252885,Qwen/Qwen3-30B-A3B,4
256,4096,1,80302.97499949984,0.0,13040.496103160753,3.1837148689357306,Qwen/Qwen3-30B-A3B,4
256,4096,1024,243621.6083739996,33.68042999954923,3575.0841160133787,893.7710290033447,Qwen/Qwen3-30B-A3B,4
256,8192,1,165845.77736250003,0.0,12631.414824613154,1.5419207549576603,Qwen/Qwen3-30B-A3B,4
256,8192,1024,405936.0073604998,24.47610999979588,4690.222232844406,586.2777791055507,Qwen/Qwen3-30B-A3B,4
