concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,4096,1,1661.0755355004585,0.0,19592.873634896325,4.7834164147696105,Qwen/Qwen3-32B,4
8,4096,1024,1067.4131404998661,19.050099999731174,1550.0395843361455,387.50989608403637,Qwen/Qwen3-32B,4
16,4096,1,3323.646666499826,0.0,19642.52657912945,4.795538715607776,Qwen/Qwen3-32B,4
16,4096,1024,1798.0305569999473,21.701118999772007,2564.1633031127553,641.0408257781888,Qwen/Qwen3-32B,4
32,4096,1,6650.480146999598,0.0,19649.57382709596,4.797259235130849,Qwen/Qwen3-32B,4
32,4096,1024,3775.1911029999974,23.934025000471593,3352.7558370573825,838.1889592643456,Qwen/Qwen3-32B,4
64,4096,1,13303.652516999591,0.0,19679.73042912073,4.804621686797053,Qwen/Qwen3-32B,4
64,4096,1024,34846.11063150033,24.01940449999529,3342.9183105941365,835.7295776485341,Qwen/Qwen3-32B,4
128,4096,1,26605.5805660003,0.0,19470.80385220073,4.753614221728694,Qwen/Qwen3-32B,4
128,4096,1024,121704.78256700016,24.07558449976932,3347.575472152761,836.8938680381902,Qwen/Qwen3-32B,4
256,4096,1,53188.94259749959,0.0,19697.47355943747,4.808953505722038,Qwen/Qwen3-32B,4
256,4096,1024,271389.637149,24.077138999928138,3409.82047866889,852.4551196672224,Qwen/Qwen3-32B,4
