concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,184.22217999977875,0.0,40420.9509808703,39.47358494225615,Qwen/Qwen2.5-7B-Instruct,1
8,1024,1024,145.5555650002225,13.751485000057073,571.5820444635913,571.5820444635913,Qwen/Qwen2.5-7B-Instruct,1
8,4096,1,859.963192999885,0.0,37574.56799612861,9.173478514679836,Qwen/Qwen2.5-7B-Instruct,1
8,4096,1024,505.2017294999587,15.078689999882045,2006.9549313936673,501.7387328484168,Qwen/Qwen2.5-7B-Instruct,1
8,8192,1,1963.4278715000164,0.0,33137.86514475986,4.045149553803694,Qwen/Qwen2.5-7B-Instruct,1
8,8192,1024,1137.5596920001954,16.876304499874095,3401.691193162851,425.2113991453564,Qwen/Qwen2.5-7B-Instruct,1
16,1024,1,368.63486349989216,0.0,43079.30745986095,42.06963619127046,Qwen/Qwen2.5-7B-Instruct,1
16,1024,1024,226.41532999978153,14.49716500019349,1075.380550318501,1075.380550318501,Qwen/Qwen2.5-7B-Instruct,1
16,4096,1,1719.8290615001497,0.0,37826.953286073964,9.235096017107901,Qwen/Qwen2.5-7B-Instruct,1
16,4096,1024,935.5254279998917,17.145135000191658,3402.604767620086,850.6511919050215,Qwen/Qwen2.5-7B-Instruct,1
16,8192,1,3926.736262999839,0.0,33249.599355334045,4.058788983805425,Qwen/Qwen2.5-7B-Instruct,1
16,8192,1024,2121.823097500055,20.6615949996376,5233.393575884036,654.1741969855045,Qwen/Qwen2.5-7B-Instruct,1
32,1024,1,737.9235645003064,0.0,43388.59721975687,42.37167697241882,Qwen/Qwen2.5-7B-Instruct,1
32,1024,1024,410.4880330000924,15.959070000462816,1920.4890950839006,1920.4890950839006,Qwen/Qwen2.5-7B-Instruct,1
32,4096,1,3439.824594000129,0.0,37930.76648878701,9.260441037301517,Qwen/Qwen2.5-7B-Instruct,1
32,4096,1024,1798.276805000114,21.272080000017013,5198.898082990038,1299.7245207475096,Qwen/Qwen2.5-7B-Instruct,1
32,8192,1,7852.541100000053,0.0,33302.25772059367,4.065217006908407,Qwen/Qwen2.5-7B-Instruct,1
32,8192,1024,5054.556120500365,22.92626950020349,5733.133821336845,716.6417276671057,Qwen/Qwen2.5-7B-Instruct,1
64,1024,1,1476.2862910001786,0.0,43445.498946756925,42.42724506519231,Qwen/Qwen2.5-7B-Instruct,1
64,1024,1024,784.3690155000331,18.653230000381882,3177.6210067047277,3177.6210067047277,Qwen/Qwen2.5-7B-Instruct,1
64,4096,1,6878.2625424996695,0.0,38007.03878080908,9.279062202345967,Qwen/Qwen2.5-7B-Instruct,1
64,4096,1024,28109.171627499563,22.92442999987543,5694.5335319798805,1423.6333829949701,Qwen/Qwen2.5-7B-Instruct,1
64,8192,1,15701.08881599981,0.0,33341.090922954514,4.069957388055971,Qwen/Qwen2.5-7B-Instruct,1
64,8192,1024,59716.23674649982,23.008184500213247,5729.957751310059,716.2447189137574,Qwen/Qwen2.5-7B-Instruct,1
128,1024,1,2945.075421999718,0.0,43946.56037817221,42.9165628693088,Qwen/Qwen2.5-7B-Instruct,1
128,1024,1024,1659.8510779999742,21.492715000476892,4050.234858760454,4050.234858760454,Qwen/Qwen2.5-7B-Instruct,1
128,4096,1,13760.494791999463,0.0,38031.866608414064,9.28512368369484,Qwen/Qwen2.5-7B-Instruct,1
128,4096,1024,58330.93497699974,22.99263000031715,5691.988135810003,1422.9970339525007,Qwen/Qwen2.5-7B-Instruct,1
128,8192,1,31397.861598500185,0.0,33364.876122169146,4.072860854756976,Qwen/Qwen2.5-7B-Instruct,1
128,8192,1024,145976.06622599962,23.00554999965243,5875.947286158607,734.4934107698259,Qwen/Qwen2.5-7B-Instruct,1
