concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,110.45697500003371,0.0,67445.82863753002,65.86506702883791,Qwen/Qwen3-8B,4
8,1024,1024,106.51450399973328,6.749734999630164,1159.9014560692062,1159.9014560692062,Qwen/Qwen3-8B,4
8,4096,1,466.85807399990153,0.0,68807.7364937163,16.798763792411204,Qwen/Qwen3-8B,4
8,4096,1024,284.9567439998282,6.92261999938637,4318.609423981408,1079.652355995352,Qwen/Qwen3-8B,4
8,8192,1,1022.3689414997352,0.0,63331.40201890112,7.730884035510391,Qwen/Qwen3-8B,4
8,8192,1024,604.723103499964,7.233179999730055,7747.848669848893,968.4810837311117,Qwen/Qwen3-8B,4
16,1024,1,221.4434689999507,0.0,71375.44934429968,69.70258725029265,Qwen/Qwen3-8B,4
16,1024,1024,141.66137950041957,7.30406499997116,2121.3123435215457,2121.3123435215457,Qwen/Qwen3-8B,4
16,4096,1,934.0152919999127,0.0,69332.44838544546,16.926867281602895,Qwen/Qwen3-8B,4
16,4096,1024,520.0730430001386,7.915684999716177,7245.214703830372,1811.303675957593,Qwen/Qwen3-8B,4
16,8192,1,2044.8810075004076,0.0,63669.70810412806,7.772181165054695,Qwen/Qwen3-8B,4
16,8192,1024,1122.701411500202,8.536185000139085,12068.840937575646,1508.6051171969557,Qwen/Qwen3-8B,4
32,1024,1,443.4057780003968,0.0,71748.37646437694,70.0667738909931,Qwen/Qwen3-8B,4
32,1024,1024,255.43975900018268,8.842980000281386,3434.268981305046,3434.268981305046,Qwen/Qwen3-8B,4
32,4096,1,1868.227649000346,0.0,69720.10469496294,17.021509935293686,Qwen/Qwen3-8B,4
32,4096,1024,988.8662530001966,9.917784499521076,10888.069352064716,2722.017338016179,Qwen/Qwen3-8B,4
32,8192,1,4089.51636699976,0.0,63574.691362861726,7.760582441755582,Qwen/Qwen3-8B,4
32,8192,1024,2143.498063499919,13.168720000066969,14878.87362009143,1859.8592025114287,Qwen/Qwen3-8B,4
64,1024,1,887.3912270000801,0.0,72615.84730686301,70.91391338560841,Qwen/Qwen3-8B,4
64,1024,1024,482.46528400022726,11.891539999851375,4998.149188848284,4998.149188848284,Qwen/Qwen3-8B,4
64,4096,1,3736.412936999841,0.0,69843.17160453051,17.05155556751233,Qwen/Qwen3-8B,4
64,4096,1024,1929.5592009998472,14.133485000456858,14315.415315485701,3578.8538288714253,Qwen/Qwen3-8B,4
64,8192,1,8178.765088000091,0.0,63942.75991188674,7.805512684556486,Qwen/Qwen3-8B,4
64,8192,1024,4196.612168000229,22.812940000221715,16596.1129791051,2074.5141223881374,Qwen/Qwen3-8B,4
128,1024,1,1775.3192909999598,0.0,72152.7493741693,70.46166931071221,Qwen/Qwen3-8B,4
128,1024,1024,951.2487985002736,15.892915000222274,7280.8885910339495,7280.8885910339495,Qwen/Qwen3-8B,4
128,4096,1,7472.628825999891,0.0,69933.14131070435,17.07352082780868,Qwen/Qwen3-8B,4
128,4096,1024,3780.8175229997687,24.919970000155445,14465.716754091214,3616.4291885228035,Qwen/Qwen3-8B,4
128,8192,1,16357.791346999875,0.0,64000.849819877345,7.812603737777996,Qwen/Qwen3-8B,4
128,8192,1024,35903.64797199982,23.61507999967216,16400.860254586092,2050.1075318232615,Qwen/Qwen3-8B,4
256,1024,1,3549.596532999658,0.0,72908.85039657264,71.20004921540297,Qwen/Qwen3-8B,4
256,1024,1024,1852.6083660003678,22.32251500026905,9898.383249442535,9898.383249442535,Qwen/Qwen3-8B,4
256,4096,1,14956.220815999586,0.0,69965.40505743239,17.081397719099705,Qwen/Qwen3-8B,4
256,4096,1024,36109.59763599976,24.913270000070042,14892.309650943702,3723.0774127359255,Qwen/Qwen3-8B,4
256,8192,1,32718.64993049985,0.0,64020.28412406724,7.814976089363677,Qwen/Qwen3-8B,4
256,8192,1024,100320.33124950022,23.671160000048985,16413.248412560777,2051.656051570097,Qwen/Qwen3-8B,4
