concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,263.1320149998828,0.0,29333.30867881899,28.64580925665917,Qwen/Qwen-7B,1
8,1024,1024,187.87978750060574,19.07000000028347,412.71524817026426,412.71524817026426,Qwen/Qwen-7B,1
8,4096,1,1572.8249745002358,0.0,20698.881517100835,5.053437870385946,Qwen/Qwen-7B,1
8,4096,1024,23784.808405499916,22.05943449962433,701.4885941223434,175.37214853058586,Qwen/Qwen-7B,1
8,8192,1,4184.550251000019,0.0,15618.051852127679,1.9065004702304296,Qwen/Qwen-7B,1
8,8192,1024,76870.19222150002,23.89346449990626,644.062293632905,80.50778670411313,Qwen/Qwen-7B,1
16,1024,1,527.0112439998229,0.0,30478.903340482844,29.764554043440278,Qwen/Qwen-7B,1
16,1024,1024,11006.823884499681,20.4369645002771,462.93151587237907,462.93151587237907,Qwen/Qwen-7B,1
16,4096,1,3145.6028624998,0.0,20763.427507638316,5.069196168857011,Qwen/Qwen-7B,1
16,4096,1024,70527.15213800002,22.066699999868433,700.9070206428574,175.22675516071436,Qwen/Qwen-7B,1
16,8192,1,8369.223418999809,0.0,15627.80234425611,1.907690715851576,Qwen/Qwen-7B,1
16,8192,1024,178601.57558150013,23.882334999598243,644.1253240629883,80.51566550787354,Qwen/Qwen-7B,1
32,1024,1,1054.5159729999796,0.0,30623.37240789907,29.905637117088936,Qwen/Qwen-7B,1
32,1024,1024,43360.473496999926,20.583690000421484,462.94389382476265,462.94389382476265,Qwen/Qwen-7B,1
32,4096,1,6291.673564000121,0.0,20793.335701641055,5.076497974033461,Qwen/Qwen-7B,1
32,4096,1024,164058.11171699996,22.0736900000702,700.7733331624624,175.1933332906156,Qwen/Qwen-7B,1
32,8192,1,16752.414405500076,0.0,15639.302904373848,1.9090945928190732,Qwen/Qwen-7B,1
32,8192,1024,382102.3221399996,23.885889999291976,644.1134404778157,80.51418005972697,Qwen/Qwen-7B,1
64,1024,1,2109.7553075005635,0.0,30707.638726396195,29.987928443746284,Qwen/Qwen-7B,1
64,1024,1024,108092.80537050017,20.733049999762443,462.4830690453547,462.4830690453547,Qwen/Qwen-7B,1
64,4096,1,12583.265282501088,0.0,20800.342351240783,5.078208581845894,Qwen/Qwen-7B,1
64,4096,1024,351023.7676880006,22.068270000090706,700.9215662489976,175.2303915622494,Qwen/Qwen-7B,1
64,8192,1,33489.39279499973,0.0,15645.587135318334,1.9098617108542888,Qwen/Qwen-7B,1
64,8192,1024,789083.0020555004,23.890409000159707,644.1006460457374,80.51258075571718,Qwen/Qwen-7B,1
128,1024,1,4202.36741700046,0.0,30802.342450995762,30.08041254980055,Qwen/Qwen-7B,1
128,1024,1024,258812.41833999957,20.729489999212092,470.4020010345164,470.4020010345164,Qwen/Qwen-7B,1
128,4096,1,25176.418009000372,0.0,20808.94973201531,5.0803099931678,Qwen/Qwen-7B,1
128,4096,1024,724695.5637464998,22.062309000830282,701.1236059338613,175.28090148346533,Qwen/Qwen-7B,1
128,8192,1,66986.90966200047,0.0,15647.669230852414,1.9101158729067889,Qwen/Qwen-7B,1
128,8192,1024,1603009.3286480005,23.883689998910995,644.1229050424101,80.51536313030127,Qwen/Qwen-7B,1
