concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,85.82117600008132,0.0,85179.26297539569,83.18287399940985,Qwen/Qwen2.5-7B-Instruct,4
8,1024,1024,82.38292700002603,4.72438399992825,1661.0783521435376,1661.0783521435376,Qwen/Qwen2.5-7B-Instruct,4
8,4096,1,360.1744080001481,0.0,88891.41411817804,21.70200539994581,Qwen/Qwen2.5-7B-Instruct,4
8,4096,1024,222.12931249987378,4.757434000111971,6249.5895516231485,1562.3973879057871,Qwen/Qwen2.5-7B-Instruct,4
8,8192,1,782.8402569998616,0.0,82603.23201723768,10.083402345854209,Qwen/Qwen2.5-7B-Instruct,4
8,8192,1024,431.33292199991047,5.016459000216855,11033.9858360188,1379.24822950235,Qwen/Qwen2.5-7B-Instruct,4
16,1024,1,171.946088499908,0.0,90707.92196028505,88.58195503934087,Qwen/Qwen2.5-7B-Instruct,4
16,1024,1024,112.2601559998202,5.150318999994852,2994.9599198900914,2994.9599198900914,Qwen/Qwen2.5-7B-Instruct,4
16,4096,1,720.463280499871,0.0,89818.25672653725,21.928285333627258,Qwen/Qwen2.5-7B-Instruct,4
16,4096,1024,403.6674179999409,5.278859000100056,10515.994787314427,2628.9986968286066,Qwen/Qwen2.5-7B-Instruct,4
16,8192,1,1565.7457490001434,0.0,83044.61730079449,10.13728238535089,Qwen/Qwen2.5-7B-Instruct,4
16,8192,1024,872.2567509998953,5.44543900014105,18224.35573851562,2278.0444673144525,Qwen/Qwen2.5-7B-Instruct,4
32,1024,1,344.3709255000158,0.0,91844.23595780724,89.69163667754613,Qwen/Qwen2.5-7B-Instruct,4
32,1024,1024,202.13759099988238,6.393628499836268,4720.78564810365,4720.78564810365,Qwen/Qwen2.5-7B-Instruct,4
32,4096,1,1441.3574775001052,0.0,90148.75621150876,22.008973684450382,Qwen/Qwen2.5-7B-Instruct,4
32,4096,1024,767.4912989998575,6.968584000105693,15204.640629612137,3801.160157403034,Qwen/Qwen2.5-7B-Instruct,4
32,8192,1,3131.6813164999076,0.0,83344.18663321876,10.173850907375337,Qwen/Qwen2.5-7B-Instruct,4
32,8192,1024,1649.8616925000533,7.368778499994733,24393.338719561893,3049.1673399452366,Qwen/Qwen2.5-7B-Instruct,4
64,1024,1,689.1082155000277,0.0,93265.309301893,91.07940361512988,Qwen/Qwen2.5-7B-Instruct,4
64,1024,1024,377.7817385000617,9.26092300005621,6417.218284246503,6417.218284246503,Qwen/Qwen2.5-7B-Instruct,4
64,4096,1,2883.2125859998996,0.0,90438.26146773028,22.079653678645087,Qwen/Qwen2.5-7B-Instruct,4
64,4096,1024,1492.8437615001258,9.759453000015128,20296.544442949784,5074.136110737446,Qwen/Qwen2.5-7B-Instruct,4
64,8192,1,6263.865427999917,0.0,83446.69117613311,10.186363668961562,Qwen/Qwen2.5-7B-Instruct,4
64,8192,1024,3227.1552009999596,11.988907499926427,28167.718583805945,3520.964822975743,Qwen/Qwen2.5-7B-Instruct,4
128,1024,1,1378.8703910001914,0.0,93448.41391814212,91.25821671693566,Qwen/Qwen2.5-7B-Instruct,4
128,1024,1024,745.2046885000527,13.633127500042974,8524.963675329764,8524.963675329764,Qwen/Qwen2.5-7B-Instruct,4
128,4096,1,5766.911469999968,0.0,90553.55404444716,22.107801280382606,Qwen/Qwen2.5-7B-Instruct,4
128,4096,1024,2940.9111620002477,14.653997000095842,25069.408247978812,6267.352061994703,Qwen/Qwen2.5-7B-Instruct,4
128,8192,1,12533.613493999837,0.0,83512.21148050376,10.194361752991181,Qwen/Qwen2.5-7B-Instruct,4
128,8192,1024,6362.843013000202,21.1151149997022,30605.508687924354,3825.688585990544,Qwen/Qwen2.5-7B-Instruct,4
256,1024,1,2757.2013704998426,0.0,93678.34501243824,91.48275880120921,Qwen/Qwen2.5-7B-Instruct,4
256,1024,1024,1490.3752699997312,18.437205999816797,11799.432122636688,11799.432122636688,Qwen/Qwen2.5-7B-Instruct,4
256,4096,1,11542.001077500117,0.0,90466.84661731431,22.08663247493025,Qwen/Qwen2.5-7B-Instruct,4
256,4096,1024,5867.593917500017,25.177914500090992,27957.92983215891,6989.482458039727,Qwen/Qwen2.5-7B-Instruct,4
256,8192,1,25061.00022449982,0.0,83533.74890466,10.196990833088378,Qwen/Qwen2.5-7B-Instruct,4
256,8192,1024,15549.514107000505,27.88222399976803,30759.159959646928,3844.894994955866,Qwen/Qwen2.5-7B-Instruct,4
