concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,112.75044500007425,0.0,66662.80820219766,65.10039863495865,Qwen/Qwen-7B,4
8,1024,1024,103.61905449985898,4.804760000297392,1579.9587604739545,1579.9587604739545,Qwen/Qwen-7B,4
8,4096,1,493.9583865000259,0.0,65450.464533249025,15.97911731768775,Qwen/Qwen-7B,4
8,4096,1024,291.68227300010585,8.025945000326828,3779.0680885030083,944.7670221257521,Qwen/Qwen-7B,4
8,8192,1,1139.8660830000154,0.0,57082.68629358887,6.96810135419786,Qwen/Qwen-7B,4
8,8192,1024,658.6090860000695,11.94079500010048,4891.479337143219,611.4349171429023,Qwen/Qwen-7B,4
16,1024,1,225.99194350004836,0.0,70707.1040986148,69.04990634630352,Qwen/Qwen-7B,4
16,1024,1024,138.66089399971315,6.477954999809299,2376.941418847431,2376.941418847431,Qwen/Qwen-7B,4
16,4096,1,988.1949789998998,0.0,65831.11123839869,16.07204864218718,Qwen/Qwen-7B,4
16,4096,1024,540.610961000084,12.632250000024214,4696.114186909021,1174.0285467272552,Qwen/Qwen-7B,4
16,8192,1,2280.0939345002007,0.0,57261.23318917647,6.989896629538143,Qwen/Qwen-7B,4
16,8192,1024,1232.868427000085,20.67359500006205,5600.283466918111,700.0354333647639,Qwen/Qwen-7B,4
32,1024,1,452.4253399999907,0.0,70858.23496496904,69.19749508297758,Qwen/Qwen-7B,4
32,1024,1024,254.81731800005036,9.61325999969631,3185.730708031363,3185.730708031363,Qwen/Qwen-7B,4
32,4096,1,1976.6758649998337,0.0,66017.26076968695,16.117495305099354,Qwen/Qwen-7B,4
32,4096,1024,1069.6942350000427,21.903988999838475,5329.5803146278995,1332.3950786569749,Qwen/Qwen-7B,4
32,8192,1,4560.569183500093,0.0,57349.304450436815,7.000647515922463,Qwen/Qwen-7B,4
32,8192,1024,27473.373438500174,23.842680000143446,5592.306867573077,699.0383584466347,Qwen/Qwen-7B,4
64,1024,1,905.3211110001484,0.0,70977.45174863431,69.3139177232757,Qwen/Qwen-7B,4
64,1024,1024,498.00033499991514,15.509930000007444,3870.447220264535,3870.447220264535,Qwen/Qwen-7B,4
64,4096,1,3953.717761000007,0.0,66119.12377116403,16.142364201944343,Qwen/Qwen-7B,4
64,4096,1024,26543.40810099984,22.881150000102934,5333.082110684035,1333.2705276710087,Qwen/Qwen-7B,4
64,8192,1,9121.046549499852,0.0,57400.36518816793,7.006880516133781,Qwen/Qwen-7B,4
64,8192,1024,56372.58176749993,23.855050000292977,5661.536858462377,707.6921073077971,Qwen/Qwen-7B,4
128,1024,1,1803.6078699999507,0.0,71552.01785159936,69.8750174332025,Qwen/Qwen-7B,4
128,1024,1024,1167.1767869997893,18.98951900011525,3997.833238762128,3997.833238762128,Qwen/Qwen-7B,4
128,4096,1,7908.055186999718,0.0,66155.47319409682,16.151238572777544,Qwen/Qwen-7B,4
128,4096,1024,77528.7410384999,23.054459000377392,5358.977113078897,1339.7442782697242,Qwen/Qwen-7B,4
128,8192,1,18243.009850000362,0.0,57418.14756932253,7.009051216958317,Qwen/Qwen-7B,4
128,8192,1024,163294.61235900043,23.84844999960478,5695.648877871448,711.956109733931,Qwen/Qwen-7B,4
256,1024,1,3614.960617000179,0.0,71744.06222744209,70.06256076898642,Qwen/Qwen-7B,4
256,1024,1024,43212.49855949964,19.651520000024902,3993.004112820513,3993.004112820513,Qwen/Qwen-7B,4
256,4096,1,15821.695460000228,0.0,66174.26547011719,16.15582653079033,Qwen/Qwen-7B,4
256,4096,1024,156270.66979649998,23.06224000039947,5392.091957928329,1348.0229894820823,Qwen/Qwen-7B,4
256,8192,1,36488.586292000036,0.0,57427.30550943101,7.010169129569215,Qwen/Qwen-7B,4
256,8192,1024,328227.66408799996,23.847538999689277,5712.097041503183,714.0121301878979,Qwen/Qwen-7B,4
