concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,721.1010485000315,0.0,9699.578670841045,9.472244795743208,google/gemma-2-2b-it,1
8,1024,1024,618.3786609999515,139.37758099996245,57.06106113782808,57.06106113782808,google/gemma-2-2b-it,1
8,4096,1,2653.918077500066,0.0,11663.220000704036,2.8474658204843837,google/gemma-2-2b-it,1
8,4096,1024,1726.9734899999776,141.00449200020648,222.6026781936675,55.65066954841687,google/gemma-2-2b-it,1
8,8192,1,5603.1584135000685,0.0,11377.416128697287,1.388844742272618,google/gemma-2-2b-it,1
8,8192,1024,3383.2920564998403,143.2213214998228,429.95405892227166,53.74425736528396,google/gemma-2-2b-it,1
16,1024,1,1425.4925755001295,0.0,10719.43516829083,10.468198406534013,google/gemma-2-2b-it,1
16,1024,1024,1025.389956500021,140.52991199969256,112.69060685570014,112.69060685570014,google/gemma-2-2b-it,1
16,4096,1,5469.082955499971,0.0,11869.7521705397,2.897888713510669,google/gemma-2-2b-it,1
16,4096,1024,3059.1417224998168,143.80285149968586,429.0732208851947,107.26830522129868,google/gemma-2-2b-it,1
16,8192,1,11367.35258449994,0.0,11476.166061536454,1.4008991774336492,google/gemma-2-2b-it,1
16,8192,1024,6197.353038500069,148.24213150018295,803.2102070350024,100.4012758793753,google/gemma-2-2b-it,1
32,1024,1,2851.3741304996074,0.0,11087.274662355037,10.827416662456091,google/gemma-2-2b-it,1
32,1024,1024,1719.9501165000584,143.1648520001545,219.03183928151296,219.03183928151296,google/gemma-2-2b-it,1
32,4096,1,10937.993108999763,0.0,11924.438318764256,2.9112398239170547,google/gemma-2-2b-it,1
32,4096,1024,5798.3222314996965,149.82853299989074,797.3529910514603,199.33824776286508,google/gemma-2-2b-it,1
32,8192,1,22732.330659499894,0.0,11503.214416116532,1.4042009785298502,google/gemma-2-2b-it,1
32,8192,1024,14748.81266049988,151.87844699994457,936.1408191027302,117.01760238784128,google/gemma-2-2b-it,1
64,1024,1,5703.004049000356,0.0,11193.316707977528,10.930973347634305,google/gemma-2-2b-it,1
64,1024,1024,3155.911293999452,148.02384200083907,416.27031337331186,416.27031337331186,google/gemma-2-2b-it,1
64,4096,1,21873.385182500442,0.0,11952.647917020042,2.918126932866221,google/gemma-2-2b-it,1
64,4096,1024,170106.8421130003,152.2823039999821,795.8689809305057,198.96724523262642,google/gemma-2-2b-it,1
64,8192,1,45457.78851800015,0.0,11518.044192425414,1.4060112539581804,google/gemma-2-2b-it,1
64,8192,1024,347716.5807239999,151.8922775003375,935.7806208135138,116.97257760168922,google/gemma-2-2b-it,1
128,1024,1,11406.870927000455,0.0,11289.652453645835,11.02505122426351,google/gemma-2-2b-it,1
128,1024,1024,6944.022962999952,152.31788299934124,490.21259998226594,490.21259998226594,google/gemma-2-2b-it,1
128,4096,1,43748.02820399964,0.0,11954.16532711796,2.9184973943159083,google/gemma-2-2b-it,1
128,4096,1024,347484.27795549924,152.2835670002678,857.2769482978415,214.31923707446037,google/gemma-2-2b-it,1
128,8192,1,90917.14861800028,0.0,11518.324601743552,1.4060454836112735,google/gemma-2-2b-it,1
128,8192,1024,859387.6531295,151.89302199905796,976.9857337707194,122.12321672133993,google/gemma-2-2b-it,1
